directory,object_id,unit_id,institution,shelfmark,part,folios,author,title_latin,transcription_version,transcription_review_status,uncertain_passages_present,publication_id,website,youtube,archive,mapping
Manuscripts/HAB_Wolfenbuettel/Cod_Guelf_602_Helmst/Part_I,ms-hab-602-helmst-p1,,Herzog August Bibliothek Wolfenbüttel,Cod. Guelf. 602 Helmst.,I,1r–20v,,,,,,pub-2883,https://bibliothecarius-modernus.github.io/2026/09/de-diversis-significationibus-nominis-iesu-et-de-vita-sancti-godehardi-anonymous-gerhardus-magister/,https://www.youtube.com/watch?v=FaiCvzt55bY,https://archive.org/details/on-the-meanings-of-the-name-of-jesus-and-on-the-life-of-saint-godehard,registry
Manuscripts/HAB_Wolfenbuettel/Cod_Guelf_602_Helmst/Part_I/002 - Anonymous - On the Meanings of the Name of Jesus,ms-hab-602-helmst-p1,ms-hab-602-helmst-p1-002,Herzog August Bibliothek Wolfenbüttel,Cod. Guelf. 602 Helmst.,I,2v–3v,Anonymous,De diversis significationibus nominis Iesu,1.0,reconciled,True,pub-2883,https://bibliothecarius-modernus.github.io/2026/09/de-diversis-significationibus-nominis-iesu-et-de-vita-sancti-godehardi-anonymous-gerhardus-magister/,https://www.youtube.com/watch?v=FaiCvzt55bY,https://archive.org/details/on-the-meanings-of-the-name-of-jesus-and-on-the-life-of-saint-godehard,registry
"Manuscripts/HAB_Wolfenbuettel/Cod_Guelf_602_Helmst/Part_I/004 - Gerhardus magister - On the Life of Saint Godehard, Bishop of Hildesheim",ms-hab-602-helmst-p1,ms-hab-602-helmst-p1-004,Herzog August Bibliothek Wolfenbüttel,Cod. Guelf. 602 Helmst.,I,16v–17v,Gerhardus magister,De vita sancti Godehardi episcopi Hildeshemensis,1.0,reconciled,True,pub-2883,https://bibliothecarius-modernus.github.io/2026/09/de-diversis-significationibus-nominis-iesu-et-de-vita-sancti-godehardi-anonymous-gerhardus-magister/,https://www.youtube.com/watch?v=FaiCvzt55bY,https://archive.org/details/on-the-meanings-of-the-name-of-jesus-and-on-the-life-of-saint-godehard,registry
Manuscripts/Yale_Beinecke/MS_571/Whole,ms-yale-beinecke-571,,"Yale University, Beinecke Rare Book and Manuscript Library",MS 571,,1r–108v,,,,,,pub-2885,https://bibliothecarius-modernus.github.io/2026/09/sermo-in-natale-unius-confessoris-anonymous/,https://www.youtube.com/watch?v=ZfwLsXORYGk,https://archive.org/details/anonymous-sermon-for-the-feast-of-a-confessor-beinecke-ms-571,registry
Manuscripts/Yale_Beinecke/MS_571/Whole/003 - Anonymous - Sermon for the Feast of a Confessor,ms-yale-beinecke-571,ms-yale-beinecke-571-003,"Yale University, Beinecke Rare Book and Manuscript Library",MS 571,,65r–69v,Anonymous,Sermo in natale unius confessoris,1.0,reconciled,True,pub-2885,https://bibliothecarius-modernus.github.io/2026/09/sermo-in-natale-unius-confessoris-anonymous/,https://www.youtube.com/watch?v=ZfwLsXORYGk,https://archive.org/details/anonymous-sermon-for-the-feast-of-a-confessor-beinecke-ms-571,registry
